Metric,Base,Fine-tuned,Improvement (%)
Perplexity,1617.009602,5.407184456507182,99.66560591539968
BLEU,0.016157,0.05866473577927528,263.0917607184209
ROUGE-1,0.191309,0.33656183317347393,75.92577096397656
ROUGE-2,0.05701,0.12473826419353586,118.8006739055181
ROUGE-L,0.141603,0.26473006912763725,86.95230265434859
Semantic Sim,0.545181,0.6110086724162102,12.074461952307605
Exact Match,0.0,0.0,0.0
F1,0.149903,0.26924992853522733,79.61610410413888
